id,status,ip,latitude,longitude,send_date,reported,modified_date,email,first_name,last_name,position
ng3NXiH,Submitted Data,127.0.0.1,0,0,2026-07-01T23:35:31.109938704Z,false,2026-07-01T23:43:14.11171615Z,marco.gutierrez@intrabank.pe,Marco,Gutierrez,Ejecutivo Atención al Cliente
lPGEonm,Submitted Data,127.0.0.1,0,0,2026-07-01T23:35:31.127084253Z,false,2026-07-01T23:42:48.587310642Z,milagros.tapia@intrabank.pe,Milagros,Tapia,Ejecutiva Atención al Cliente
7oeqHbK,Submitted Data,127.0.0.1,0,0,2026-07-01T23:35:31.146975861Z,false,2026-07-01T23:42:16.408461693Z,mirian.coaquira@intrabank.pe,Mirian,Coaquira,Analista de RR.HH.
3jt1RJ6,Email Opened,127.0.0.1,0,0,2026-07-01T23:35:31.165443054Z,false,2026-07-01T23:41:38.303366477Z,natalia.espinoza@intrabank.pe,Natalia,Espinoza,Supervisora Atención al Cliente
p7daTIt,Email Opened,127.0.0.1,0,0,2026-07-01T23:35:31.179888492Z,false,2026-07-01T23:41:23.429186434Z,noemi.callo@intrabank.pe,Noemí,Callo,Asistente Administrativo
CXk6MoG,Submitted Data,127.0.0.1,0,0,2026-07-01T23:35:31.200469059Z,false,2026-07-01T23:41:07.11698067Z,percy.ticona@intrabank.pe,Percy,Ticona,Asesor de Negocios Corporativo
WgNSzja,Email Opened,127.0.0.1,0,0,2026-07-01T23:35:31.228840781Z,false,2026-07-01T23:40:39.014170238Z,rocio.palomino@intrabank.pe,Rocío,Palomino,Ejecutiva Atención al Cliente
y63olgc,Submitted Data,127.0.0.1,0,0,2026-07-01T23:35:31.25137034Z,false,2026-07-01T23:40:25.33110409Z,rolando.apaza@intrabank.pe,Rolando,Apaza,Analista de Créditos MYPE
7eDj8s1,Email Opened,127.0.0.1,0,0,2026-07-01T23:35:31.26541738Z,false,2026-07-01T23:39:55.386525224Z,rosa.paredes@intrabank.pe,Rosa,Paredes,Gerente de Banca MYPE
LBswoF7,Clicked Link,127.0.0.1,0,0,2026-07-01T23:35:31.287448394Z,false,2026-07-01T23:39:40.147602377Z,sandra.vilca@intrabank.pe,Sandra,Vilca,Ejecutiva Atención al Cliente
axgSf38,Submitted Data,127.0.0.1,0,0,2026-07-01T23:35:31.30296231Z,false,2026-07-01T23:39:12.447279044Z,vanesa.lazo@intrabank.pe,Vanesa,Lazo,Asesora de Negocios MYPE
kkNG1uk,Email Opened,127.0.0.1,0,0,2026-07-01T23:35:31.317350894Z,true,2026-07-01T23:38:18.202918061Z,yesenia.mamani@intrabank.pe,Yesenia,Mamani,Ejecutiva Atención al Cliente
